,Country Name,croissance demo,Disponibilité intérieure,Exportations - Quantité,Importations - Quantité,Production,unurished death cause (%),CO2 emission (ton/capita),GDP_growth (%),Political_Stability,gini index
0,Afghanistan,0.031157894736842117,57.0,,29.0,28.0,45.071498955338875,0.11689522952018008,6.16389332961622,-2.4611111111111112,
1,South Africa,0.01321052631578948,2118.0,63.0,514.0,1667.0,42.427385563879554,7.314787212991356,2.826681261339769,-0.11222222222222222,61.883333333333326
2,Albania,-0.004315789473684211,47.0,0.0,38.0,13.0,4.336743265816197,1.2508164108760602,2.9256581795394343,-0.08055555555555559,31.218181818181822
3,Algeria,0.016368421052631577,277.0,0.0,2.0,275.0,15.782289315290026,3.021487999047712,3.5529805909633145,-1.2166666666666668,34.36666666666667
4,Germany,0.0010000000000000002,1739.0,646.0,842.0,1514.0,4.602916875514983,9.940892477911506,1.8567197158198254,0.8505555555555555,30.192857142857147
5,Angola,0.03378947368421053,319.0,0.0,277.0,42.0,65.0459357734675,0.9004811015949332,3.4078895810524887,-0.6488888888888888,48.666666666666664
6,Antigua and Barbuda,0.01252631578947369,7.0,0.0,7.0,0.0,11.71132024580359,5.23934688976421,3.3563305568728623,0.8644444444444445,
7,Saudi Arabia,0.026157894736842116,1435.0,10.0,722.0,616.0,10.021000467903594,13.777814186488502,4.830306704770916,-0.3572222222222222,
8,Armenia,-0.0020000000000000005,47.0,0.0,35.0,11.0,5.281480420073762,1.8192459554542968,3.21246714889864,-0.15333333333333335,31.90952380952381
9,Australia,0.014368421052631582,1171.0,42.0,16.0,1269.0,4.458725243879572,16.827026974387778,3.345610301359444,0.9783333333333333,33.51666666666666
10,Austria,0.00505263157894737,173.0,78.0,110.0,148.0,2.92197079921272,7.991649468594351,2.6146182106948643,1.1422222222222222,29.972727272727276
11,Azerbaijan,0.01078947368421053,129.0,0.0,27.0,104.0,10.604911105821405,3.917159562105793,3.9802065204015356,-0.7183333333333334,29.416666666666668
12,Bangladesh,0.012421052631578952,250.0,,0.0,249.0,33.66138764634485,0.26951692148979106,4.340195989408763,-1.3161111111111115,30.355555555555554
13,Barbados,0.002842105263157896,17.0,0.0,2.0,15.0,13.94723418480685,5.1626302051000685,0.8848916616382145,1.0844444444444443,
14,Belgium,0.005789473684210528,152.0,656.0,338.0,463.0,7.646825409265307,10.133346103507916,2.563757278282336,0.7783333333333332,27.969565217391313
15,Belize,0.023315789473684217,19.0,0.0,0.0,20.0,18.660097695592476,1.9576614173528273,4.684799147422171,0.15944444444444442,57.73333333333333
16,Bosnia and Herzegovina,-0.006263157894736842,55.0,8.0,10.0,61.0,2.2573356796802324,4.4934140790204165,8.956852905168532,-0.4366666666666667,32.525
17,Botswana,0.016684210526315794,7.0,0.0,3.0,5.0,52.25734694249928,2.409387940331939,7.875354010693366,1.0211111111111109,58.7
18,Brazil,0.009578947368421053,9982.0,4223.0,3.0,14201.0,14.929541453245925,1.8432878886566546,3.8782978720852457,-0.14944444444444444,56.522222222222226
19,Bulgaria,-0.006526315789473687,157.0,45.0,108.0,107.0,2.4901075614983847,6.223679021071238,1.6920680367427192,0.2661111111111111,37.17142857142857
20,Burkina Faso,0.02842105263157896,46.0,,0.0,46.0,62.5292166552015,0.11533204471248383,4.467732406498734,-0.33055555555555555,43.95000000000001
21,Belarus,-0.0023157894736842103,265.0,152.0,21.0,463.0,1.987401039681465,6.30195949143595,2.5125670836645178,0.21,27.8
22,Cambodia,0.015421052631578955,38.0,,10.0,28.0,34.023344649208624,0.31687481527764755,5.612865134850452,-0.2827777777777778,
23,Cameroon,0.025947368421052643,82.0,0.0,0.0,81.0,58.73861064065437,0.3520962425528226,3.620982469024746,-0.6622222222222223,43.975
24,Canada,0.010157894736842107,1433.0,163.0,182.0,1417.0,5.030439184355635,15.921149990410042,3.3020288911844675,1.0755555555555556,33.12222222222223
25,Colombia,0.011947368421052634,1643.0,2.0,78.0,1564.0,11.491217815104,1.5124263916818756,4.0106278470873935,-1.5433333333333332,53.8409090909091
26,Costa Rica,0.012368421052631584,134.0,3.0,17.0,133.0,7.5924761896567246,1.4372767830549722,4.450115775801093,0.6494444444444444,47.55
27,Croatia,-0.0033157894736842108,45.0,17.0,24.0,61.0,2.6258249049468523,4.176410174022165,2.2085509177937555,0.5966666666666667,31.354545454545452
28,Cuba,0.0010000000000000002,342.0,,312.0,29.0,8.426389599813294,2.3988171113272694,2.7206033966390843,0.43833333333333335,
29,Denmark,0.003947368421052632,167.0,139.0,133.0,173.0,5.888459794796603,9.337298104313506,2.3829496646429815,1.0661111111111112,26.552380952380954
30,Djibouti,0.015421052631578955,3.0,,3.0,,48.327489534746576,0.51690481416801,5.375050872836714,-0.24722222222222223,42.699999999999996
31,Spain,0.007105263157894737,1497.0,212.0,205.0,1515.0,5.110163934745858,6.297424872485909,3.190434526424093,0.04444444444444443,34.56363636363637
32,Estonia,-0.0028947368421052637,29.0,11.0,21.0,20.0,2.8589805049989074,12.925431119295606,4.1584382976658025,0.6955555555555555,32.641176470588235
33,Fiji,0.004631578947368422,26.0,0.0,3.0,23.0,10.372071885324775,1.27804555326675,2.7670905710722433,0.2622222222222222,36.325
34,Finland,0.003263157894736843,111.0,12.0,16.0,129.0,2.8688092993704997,10.583461258417458,2.7485548043627634,1.4005555555555556,26.838095238095246
35,France,0.004894736842105264,1573.0,501.0,506.0,1750.0,6.361358177783518,5.616421785440385,2.687199430280742,0.4361111111111111,32.41904761904762
36,Russian Federation,-0.0002631578947368417,4556.0,115.0,226.0,4444.0,4.131325023408118,11.468693499875878,0.8777920324887576,-0.9516666666666667,36.260000000000005
37,Gabon,0.02915789473684211,78.0,0.0,76.0,4.0,48.2617255355606,4.008927761269159,4.07282054736797,0.22388888888888892,40.1
38,Ghana,0.023157894736842113,211.0,0.0,151.0,60.0,52.71364391778354,0.38245689072104977,3.688665503382181,-0.005555555555555551,39.785714285714285
39,Greece,-0.002736842105263159,178.0,29.0,79.0,246.0,8.098723155303055,7.779982761491019,2.7210990421824968,0.1827777777777778,34.57894736842106
40,Guatemala,0.020947368421052635,357.0,7.0,129.0,235.0,29.755779003279574,0.7981939908203389,3.8351727651781897,-0.7283333333333335,55.0
41,Guinea,0.0218421052631579,50.0,,37.0,13.0,63.06734821868755,0.20302889548671205,4.346745572600582,-1.32,39.766666666666666
